pokedex_number,name,classfication,type1,type2,generation,is_legendary,ability 1,ability 2,ability 3,ability 4,ability 5,ability 6,height_m,weight_kg,capture_rate,percentage_male,experience_growth,attack,defense,speed,hp,sp_attack,sp_defense,base_egg_steps,base_happiness,base_total,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,Seed Pokemon,grass,poison,1,0,Overgrow,Chlorophyll,,,,,0.7,6.9,45,88.1,1059860,49,49,45,45,65,65,5120,70,318,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
2,Ivysaur,Seed Pokemon,grass,poison,1,0,Overgrow,Chlorophyll,,,,,1,13,45,88.1,1059860,62,63,60,60,80,80,5120,70,405,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
3,Venusaur,Seed Pokemon,grass,poison,1,0,Overgrow,Chlorophyll,,,,,2,100,45,88.1,1059860,100,123,80,80,122,120,5120,70,625,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
4,Charmander,Lizard Pokemon,fire,,1,0,Blaze,Solar Power,,,,,0.6,8.5,45,88.1,1059860,52,43,65,39,60,50,5120,70,309,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
5,Charmeleon,Flame Pokemon,fire,,1,0,Blaze,Solar Power,,,,,1.1,19,45,88.1,1059860,64,58,80,58,80,65,5120,70,405,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
6,Charizard,Flame Pokemon,fire,flying,1,0,Blaze,Solar Power,,,,,1.7,90.5,45,88.1,1059860,104,78,100,78,159,115,5120,70,634,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
7,Squirtle,Tiny Turtle Pokemon,water,,1,0,Torrent,Rain Dish,,,,,0.5,9,45,88.1,1059860,48,65,43,44,50,64,5120,70,314,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
8,Wartortle,Turtle Pokemon,water,,1,0,Torrent,Rain Dish,,,,,1,22.5,45,88.1,1059860,63,80,58,59,65,80,5120,70,405,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
9,Blastoise,Shellfish Pokemon,water,,1,0,Torrent,Rain Dish,,,,,1.6,85.5,45,88.1,1059860,103,120,78,79,135,115,5120,70,630,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
10,Caterpie,Worm Pokemon,bug,,1,0,Shield Dust,Run Away,,,,,0.3,2.9,255,50,1000000,30,35,45,45,20,20,3840,70,195,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
